Designator,Mid X,Mid Y,Rotation,Layer
D1_7,183.642,-45.1358,0.0,bottom
D1_8,65.5955,-63.65875,270.0,bottom
D1_9,84.622,-72.7678,90.0,bottom
D2,42.926,-36.4998,90.0,top
D5,32.652,-75.5478,90.0,bottom
D6,32.702,-67.5978,90.0,bottom
DBG1,42.164,-60.7568,180.0,bottom
DBG3,203.835,-90.9828,0.0,top
F1,33.702,-45.4853,270.0,top
FB1,56.515,-37.338,90.0,bottom
FB2,35.182,-95.60955,270.0,bottom
J1,73.152,-41.49725,0.0,bottom
J10,111.252,-58.166,0.0,bottom
J11,130.302,-55.78475,0.0,bottom
J12,149.352,-58.166,0.0,bottom
J13,168.402,-60.54725,0.0,bottom
J14,192.2145,-60.54725,0.0,bottom
J15,73.152,-79.59725,0.0,bottom
J16,92.202,-79.59725,0.0,bottom
J17,111.252,-77.216,0.0,bottom
J18,130.302,-74.83475,0.0,bottom
J19,149.352,-77.216,0.0,bottom
J2,92.202,-41.49725,0.0,bottom
J20,168.402,-79.59725,0.0,bottom
J21,192.2145,-79.59725,0.0,bottom
J22,69.679555,-104.56587,13.5,bottom
J23,92.202,-98.64725,0.0,bottom
J24,111.252,-96.266,0.0,bottom
J25,130.302,-93.88475,0.0,bottom
J26,149.352,-96.266,0.0,bottom
J27,168.402,-98.64725,0.0,bottom
J28,192.2145,-98.64725,0.0,bottom
J29,45.23934,-111.881021,20.0,bottom
J3,111.252,-39.116,0.0,bottom
J30,53.349302,-132.537349,20.0,bottom
J31,75.350757,-126.277784,13.5,bottom
J32,99.184568,-122.571818,5.0,bottom
J33,130.302,-112.93475,0.0,bottom
J34,149.352,-115.316,0.0,bottom
J35,168.402,-117.69725,0.0,bottom
J36,187.452,-117.69725,0.0,bottom
J37,44.279458,-81.020536,200.0,bottom
J38,57.595368,-87.157225,20.0,top
J39,45.102,-72.117353,0.0,top
J4,130.302,-36.73475,0.0,bottom
J5,149.352,-39.116,0.0,bottom
J6,168.402,-41.49725,0.0,bottom
J7,192.2145,-41.1693,0.0,bottom
J8,73.152,-60.54725,0.0,bottom
J9,92.202,-60.54725,0.0,bottom
L1,39.878,-54.7878,270.0,bottom
L2,39.751,-45.2628,270.0,bottom
LED1,73.152,-42.09825,0.0,top
LED10,111.252,-58.767,0.0,top
LED11,130.302,-56.38575,0.0,top
LED12,149.352,-58.767,0.0,top
LED13,168.402,-61.14825,0.0,top
LED14,192.2145,-61.14825,0.0,top
LED15,73.152,-80.19825,0.0,top
LED16,92.202,-80.19825,0.0,top
LED17,111.252,-77.817,0.0,top
LED18,130.302,-75.43575,0.0,top
LED19,149.352,-77.817,0.0,top
LED2,92.202,-42.09825,0.0,top
LED20,168.402,-80.19825,0.0,top
LED21,192.2145,-80.19825,0.0,top
LED22,69.819855,-105.150264,13.5,top
LED23,92.202,-99.24825,0.0,top
LED24,111.252,-96.867,0.0,top
LED25,130.302,-94.48575,0.0,top
LED26,149.352,-96.867,0.0,top
LED27,168.402,-99.24825,0.0,top
LED28,192.2145,-99.24825,0.0,top
LED29,45.444894,-112.445776,20.0,top
LED3,111.252,-39.717,0.0,top
LED30,53.554856,-133.102104,20.0,top
LED31,75.491057,-126.862178,13.5,top
LED32,99.236948,-123.170531,5.0,top
LED33,130.302,-113.53575,0.0,top
LED34,149.352,-115.917,0.0,top
LED35,168.402,-118.29825,0.0,top
LED36,187.452,-118.29825,0.0,top
LED4,130.302,-37.33575,0.0,top
LED5,149.352,-39.717,0.0,top
LED6,168.402,-42.09825,0.0,top
LED7,192.2145,-41.7703,0.0,top
LED8,73.152,-61.14825,0.0,top
LED9,92.202,-61.14825,0.0,top
R1,60.325,-38.0238,90.0,bottom
R10,37.846,-58.4708,180.0,top
R11,40.894,-56.9468,180.0,top
R12,36.195,-54.9148,0.0,top
R13,38.608,-63.1698,0.0,bottom
R14,39.552,-46.8478,270.0,top
R15,47.102,-47.2078,90.0,bottom
R16,40.64,-36.6268,270.0,top
R17,42.552,-46.8478,270.0,top
R18,34.715,-45.3898,180.0,bottom
R19,50.539341,-63.064341,90.0,bottom
R1_1,80.8355,-43.30475,90.0,bottom
R1_10,118.9355,-59.9735,90.0,bottom
R1_11,137.9855,-57.59225,90.0,bottom
R1_12,157.0355,-59.9735,90.0,bottom
R1_13,176.0855,-62.35475,90.0,bottom
R1_14,199.898,-62.35475,90.0,bottom
R1_15,80.8355,-81.40475,90.0,bottom
